[04Jul2025 00:58:17.008] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 47.3.7, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412, nogui]
[04Jul2025 00:58:17.012] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.15 by Ubuntu; OS Linux arch amd64 version 6.8.0-1027-azure
[04Jul2025 00:58:17.103] [main/WARN] [net.minecraftforge.fml.loading.FMLConfig/CORE]: Configuration file /workspaces/trror/servidor_minecraft/config/fml.toml is not correct. Correcting
[04Jul2025 00:58:17.105] [main/INFO] [net.minecraftforge.fml.loading.FMLConfig/CORE]: Incorrect key [earlyWindowSkipGLVersions] was corrected from null to []
[04Jul2025 00:58:17.105] [main/INFO] [net.minecraftforge.fml.loading.FMLConfig/CORE]: Incorrect key [earlyWindowLogHelpMessage] was corrected from null to true
[04Jul2025 00:58:17.106] [main/INFO] [net.minecraftforge.fml.loading.FMLConfig/CORE]: Incorrect key [earlyWindowSquir] was corrected from null to false
[04Jul2025 00:58:17.107] [main/INFO] [net.minecraftforge.fml.loading.FMLConfig/CORE]: Incorrect key [earlyWindowShowCPU] was corrected from null to false
[04Jul2025 00:58:18.331] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgeserver
[04Jul2025 00:58:18.375] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/workspaces/trror/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2365!/ Service=ModLauncher Env=SERVER
[04Jul2025 00:58:18.854] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/trror/servidor_minecraft/libraries/net/minecraftforge/fmlcore/1.20.1-47.3.7/fmlcore-1.20.1-47.3.7.jar is missing mods.toml file
[04Jul2025 00:58:18.855] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/trror/servidor_minecraft/libraries/net/minecraftforge/javafmllanguage/1.20.1-47.3.7/javafmllanguage-1.20.1-47.3.7.jar is missing mods.toml file
[04Jul2025 00:58:18.856] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/trror/servidor_minecraft/libraries/net/minecraftforge/lowcodelanguage/1.20.1-47.3.7/lowcodelanguage-1.20.1-47.3.7.jar is missing mods.toml file
[04Jul2025 00:58:18.857] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/trror/servidor_minecraft/libraries/net/minecraftforge/mclanguage/1.20.1-47.3.7/mclanguage-1.20.1-47.3.7.jar is missing mods.toml file
[04Jul2025 00:58:19.270] [main/WARN] [net.minecraftforge.jarjar.selection.JarSelector/]: Attempted to select two dependency jars from JarJar which have the same identification: Mod File:  and Mod File: . Using Mod File: 
[04Jul2025 00:58:19.271] [main/WARN] [net.minecraftforge.jarjar.selection.JarSelector/]: Attempted to select a dependency jar for JarJar which was passed in as source: resourcefullib. Using Mod File: /workspaces/trror/servidor_minecraft/mods/resourcefullib-forge-1.20.1-2.1.29.jar
[04Jul2025 00:58:19.271] [main/WARN] [net.minecraftforge.jarjar.selection.JarSelector/]: Attempted to select a dependency jar for JarJar which was passed in as source: curios. Using Mod File: /workspaces/trror/servidor_minecraft/mods/curios-forge-5.14.1+1.20.1.jar
[04Jul2025 00:58:19.272] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: Found 21 dependencies adding them to mods collection
[04Jul2025 00:58:23.653] [main/INFO] [mixin/]: Compatibility level set to JAVA_17
[04Jul2025 00:58:24.112] [main/INFO] [mixin/]: Successfully loaded Mixin Connector [com.sonicether.soundphysics.MixinConnector]
[04Jul2025 00:58:24.116] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forgeserver' with arguments [nogui]
[04Jul2025 00:58:24.246] [main/INFO] [ModernFix/]: Loaded configuration file for ModernFix 5.24.1+mc1.20.1: 96 options available, 0 override(s) found
[04Jul2025 00:58:24.247] [main/INFO] [ModernFix/]: Applying Nashorn fix
[04Jul2025 00:58:24.269] [main/INFO] [ModernFix/]: Applied Forge config corruption patch
[04Jul2025 00:58:24.462] [main/WARN] [mixin/]: Reference map 'nitrogen_internals.refmap.json' for nitrogen_internals.mixins.json could not be read. If this is a development environment you can ignore this message
[04Jul2025 00:58:24.510] [main/WARN] [mixin/]: Reference map 'graveyard-FORGE-forge-refmap.json' for graveyard-forge.mixins.json could not be read. If this is a development environment you can ignore this message
[04Jul2025 00:58:24.563] [main/WARN] [mixin/]: Reference map 'puzzlesaccessapi.common.refmap.json' for puzzlesaccessapi.common.mixins.json could not be read. If this is a development environment you can ignore this message
[04Jul2025 00:58:24.666] [main/WARN] [mixin/]: Reference map 'coroutil.refmap.json' for coroutil.mixins.json could not be read. If this is a development environment you can ignore this message
[04Jul2025 00:58:24.671] [main/WARN] [mixin/]: Reference map 'mvs-forge-refmap.json' for mvs-forge.mixins.json could not be read. If this is a development environment you can ignore this message
[04Jul2025 00:58:24.739] [main/INFO] [Puzzles Lib/]: Loading 134 mods:
	- advancementplaques 1.6.9
	- ae2 15.4.5
	- aether 1.20.1-1.5.2-neoforge
		|-- cumulus_menus 1.20.1-1.0.1-neoforge
		|-- mixinextras 0.2.0-beta.9
		\-- nitrogen_internals 1.20.1-1.0.12-neoforge
	- alexscaves 2.0.2
	- alexsmobs 1.22.9
	- amendments 1.20-1.2.19
	- apotheosis 7.4.8
	- appleskin 2.5.1+mc1.20.1
	- aquaculture 2.5.5
	- architectury 9.2.14
	- artifacts 9.5.16
		\-- expandability 9.0.4
	- attributeslib 1.3.7
	- balm 7.3.31
		\-- kuma_api 20.1.10
	- betterdungeons 1.20-Forge-4.0.4
	- betterendisland 1.20-Forge-2.0.6
	- betterfortresses 1.20-Forge-2.0.6
	- betterstrongholds 1.20-Forge-4.0.3
	- biomesoplenty 18.0.0.592
	- blue_skies 1.3.31
	- bookshelf 20.2.13
	- born_in_chaos_v1 1.7
	- caelus 3.2.0+1.20.1
	- cataclysm 3.06
	- cfm 7.0.0-pre36
	- chat_heads 0.13.18
	- citadel 2.6.2
	- cloth_config 11.1.136
	- clumps 12.0.0.4
	- comforts 6.4.0+1.20.1
	- configured 2.2.3
	- controlling 12.0.2
	- corgilib 4.0.3.4
	- coroutil 1.20.1-1.3.7
	- cosmeticarmorreworked 1.20.1-v1a
	- craftingtweaks 18.2.5
	- create 6.0.6
		|-- flywheel 1.0.4
		\-- ponder 1.0.80
	- createaddition 1.20.1-1.3.1
	- creativecore 2.12.32
	- creeperoverhaul 3.0.2
	- cucumber 7.0.14
	- curios 5.14.1+1.20.1
	- dataanchor 1.0.0.19
	- deep_aether 1.20.1-1.1.6.1
		\-- aeroblender 1.20.1-1.0.2-rc1-neoforge
	- deeperdarker 1.3.3
	- dummmmmmy 1.20-2.0.7
	- dungeons_enhanced 5.4.2
	- elevatorid 1.20.1-1.9.1-forge
	- enchdesc 17.1.19
	- enderio 6.2.11-beta
	- endermanoverhaul 1.0.4
	- enhancedcelestials 1.20.1-5.0.3.1
	- enhancedvisuals 1.8.2
	- farmersdelight 1.20.1-1.2.8
	- ferritecore 6.0.1
	- forge 47.3.7
	- framework 0.7.15
	- ftblibrary 2001.2.9
	- ftbquests 2001.4.13
	- ftbteams 2001.3.1
	- gateways 4.2.6
	- geckolib 4.7.2
	- goblintraders 1.9.3
	- graveyard 3.1
	- guideme 20.1.11
	- iceandfire 2.1.13-1.20.1
	- iceberg 1.1.25
	- ironchest 1.20.1-14.4.4
	- irons_spellbooks 1.20.1-3.4.0.9
	- itemfilters 2001.1.0-build.59
	- jade 11.13.1+forge
	- jei 15.20.0.106
	- jeresources 1.4.0.247
	- journeymap 5.10.3
	- kotlinforforge 4.11.0
	- lexiconfig 1.4.18-1
	- lionfishapi 2.4-Fix
	- lootr 0.7.35.91
	- maxhealthfix 12.0.3
	- mekanism 10.4.16
	- mekanismgenerators 10.4.16
	- minecraft 1.20.1
	- modernfix 5.24.1+mc1.20.1
	- moonlight 1.20-2.14.11
	- moremobvariants 1.3.0.1
	- mowziesmobs 1.7.3
	- mvs 4.1.5-1.20-forge
	- mysticalagriculture 7.0.21
	- nethersdelight 1.20.1-4.0
	- nyfsspiders 2.1.1
	- observable 4.4.1
	- particular 1.2.4
	- patchouli 1.20.1-84.1-FORGE
	- pehkui 3.8.2+1.20.1-forge
	- pickupnotifier 8.0.0
	- pipez 1.20.1-1.2.21
	- placebo 8.6.3
	- playeranimator 1.0.2-rc1+1.20
	- polymorph 0.49.10+1.20.1
		\-- spectrelib 0.13.17+1.20.1
	- puzzleslib 8.1.32
		\-- puzzlesaccessapi 20.1.1
	- quark 4.0-462
	- refinedstorage 1.12.4
	- refurbished_furniture 1.0.14
	- resourcefulconfig 2.1.3
	- resourcefullib 2.1.29
	- searchables 1.0.3
	- securitycraft 1.10.0.1
	- sophisticatedbackpacks 3.23.19.1263
	- sophisticatedcore 1.2.71.1022
	- sound_physics_remastered 1.20.1-1.4.13
	- storagedrawers 12.9.14
	- structure_gel 2.16.2
	- supplementaries 1.20-3.1.34
		\-- mixinsquared 0.1.1
	- terrablender 3.0.1.10
	- tombstone 9.0.1
	- toofast 0.4.3.5
	- twilightforest 4.3.2508
	- visualworkbench 8.0.0
	- voicechat 1.20.1-2.5.30
	- watut 1.20.1-1.2.3
	- waystones 14.1.13
	- yungsapi 1.20-Forge-4.0.6
	- yungscavebiomes 1.20.1-Forge-2.0.5
	- zeta 1.0-30
[04Jul2025 00:58:25.796] [main/INFO] [net.minecraftforge.coremod.CoreMod.placebo/COREMODLOG]: Patching IForgeItemStack#getEnchantmentLevel
[04Jul2025 00:58:25.805] [main/INFO] [net.minecraftforge.coremod.CoreMod.placebo/COREMODLOG]: Patching IForgeItemStack#getEnchantmentLevel
[04Jul2025 00:58:26.205] [main/INFO] [net.minecraftforge.coremod.CoreMod.apotheosis/COREMODLOG]: Replaced 2 calls to Enchantment#getMaxLevel() in net/minecraft/world/inventory/AnvilMenu
[04Jul2025 00:58:26.228] [main/INFO] [net.minecraftforge.coremod.CoreMod.placebo/COREMODLOG]: Patching IForgeItemStack#getEnchantmentLevel
[04Jul2025 00:58:26.229] [main/INFO] [net.minecraftforge.coremod.CoreMod.placebo/COREMODLOG]: Patching IForgeItemStack#getEnchantmentLevel
[04Jul2025 00:58:26.244] [main/WARN] [mixin/]: Error loading class: com/hollingsworth/arsnouveau/common/items/SpellCrossbow (java.lang.ClassNotFoundException: com.hollingsworth.arsnouveau.common.items.SpellCrossbow)
